,Lineup,Team,Possessions,ORtg,DRtg,NetRtg,FGA,FG%,3PA,3P%,FTA,FT%,TS%,%FGM Assisted,AST,AST Rate,TOV,TOV Rate,DRB,DRB%,ORB,ORB%,TRB%,BLK,BLk Rate,%Opponent FGA Blocked,STL,STL Rate
1,E. Oglivie G. Bacci J. Rodríguez J. Tello S. Safar,TITANES DE BARRANQUILLA,296.3328,112.04,84.67,27.37,276,46.01,111,38,47,77,55.95,61.42,78,26.32,62,20.92,141,82,50,32,58.41,11,3.71,4.14,34,11.47
2,G. Bacci G. Bacci J. Rodríguez J. Tello S. Safar,TITANES DE BARRANQUILLA,22.3872,107.2,80.93,26.27,20,50,9,22,3,67,56.29,70,7,31.27,4,17.87,11,73,2,18,50,0,0,0,4,17.87
3,E. Oglivie G. Bacci J. Rodríguez L. Moreno S. Safar,TITANES DE BARRANQUILLA,11.2896,88.58,30.28,58.3,6,33.33,2,100,4,100,64.43,200,4,35.43,4,35.43,8,67,0,0,50,2,17.72,16.67,4,35.43
6,E. Oglivie G. Díaz J. Rodríguez J. Tello S. Safar,TITANES DE BARRANQUILLA,163.6224,133.84,103.99,29.85,156,56.41,65,37,26,73,65.4,56.82,50,30.56,31,18.95,56,75,28,41,58.33,5,3.06,3.65,21,12.83
7,E. Oglivie H. Atencia J. Rodríguez J. Tello S. Safar,TITANES DE BARRANQUILLA,15.36,136.72,61.19,75.53,15,60,7,43,0,0,70,55.56,5,32.55,3,19.53,8,38,2,40,38.46,2,13.02,8.7,2,13.02
8,E. Oglivie H. Atencia J. Rodríguez S. Safar Y. Mendoza,TITANES DE BARRANQUILLA,21.0048,133.3,92.27,41.03,18,66.67,7,43,2,50,74.15,75,9,42.85,3,14.28,6,75,0,0,42.86,0,0,0,6,28.56
9,H. Atencia H. Atencia J. Rodríguez S. Safar Y. Mendoza,TITANES DE BARRANQUILLA,27.7248,64.92,90.44,-25.52,28,25,13,15,2,100,31.16,57.14,4,14.43,4,14.43,17,77,4,19,48.84,1,3.61,3.33,2,7.21
10,G. Díaz J. Rodríguez J. Tello J. Tello S. Safar,TITANES DE BARRANQUILLA,21.12,85.23,103.27,-18.04,19,42.11,5,40,0,0,47.37,37.5,3,14.2,5,23.67,8,50,2,17,35.71,0,0,0,3,14.2
11,E. Oglivie J. Rodríguez J. Tello L. Moreno S. Safar,TITANES DE BARRANQUILLA,10.4448,191.48,135.28,56.2,16,50,4,50,2,100,59.24,37.5,3,28.72,0,0,0,0,6,75,66.67,0,0,0,2,19.15
14,J. Quintana J. Rodríguez J. Tello J. Tello S. Safar,TITANES DE BARRANQUILLA,10.4448,181.91,101.22,80.69,14,57.14,5,40,2,50,63.84,50,4,38.3,1,9.57,5,83,5,71,76.92,0,0,0,0,0
17,E. Oglivie G. Bacci G. Bacci J. Rodríguez J. Tello,TITANES DE BARRANQUILLA,80.1024,137.32,81.62,55.7,74,54.05,20,30,26,92,64.37,65,26,32.46,6,7.49,36,64,8,25,50,0,0,0,12,14.98
18,E. Oglivie E. Oglivie G. Bacci G. Bacci J. Tello,TITANES DE BARRANQUILLA,44.16,86.05,124.01,-37.96,38,47.37,8,25,0,0,50,55.56,10,22.64,12,27.17,16,80,4,20,50,0,0,0,4,9.06
19,G. Díaz J. Rodríguez J. Tello S. Safar T. Trocha,TITANES DE BARRANQUILLA,12.48,120.19,132.95,-12.76,13,46.15,9,33,0,0,57.69,83.33,5,40.06,1,8.01,3,100,1,14,40,0,0,0,2,16.03
23,J. Rodríguez L. Moreno L. Moreno T. Trocha T. Trocha,TITANES DE BARRANQUILLA,10.2144,117.48,72.92,44.56,8,37.5,5,20,6,83,56.39,33.33,1,9.79,1,9.79,5,83,1,20,54.55,0,0,0,2,19.58
24,G. Díaz G. Díaz J. Rodríguez J. Tello J. Tello,TITANES DE BARRANQUILLA,30.912,80.87,92.18,-11.31,23,34.78,13,38,5,80,49.6,62.5,5,16.17,7,22.64,15,79,0,0,44.12,1,3.23,3.33,2,6.47
27,D. Pérez E. Steele J. De Jesus J. Johnson-Coston J. Merchant Iii,HURRICANES - CUNDINAMARCA,60.5184,66.1,98.77,-32.67,58,31.03,14,14,16,12,30.75,33.33,6,9.91,8,13.22,26,93,10,21,47.37,2,3.3,4.17,12,19.83
28,D. Pérez E. Steele J. De Jesus J. De Jesus J. Merchant Iii,HURRICANES - CUNDINAMARCA,106.5216,105.14,117.52,-12.38,94,46.81,16,25,34,59,51.4,40.91,18,16.9,18,16.9,34,74,16,28,48.08,0,0,0,14,13.14
29,B. Francis H. Philip J. Davis M. Jackson S. Acevedo,CAFETEROS DE ARMENIA,75.9936,89.48,105.61,-16.13,63,42.86,15,20,14,79,49.16,44.44,12,15.79,16,21.05,35,81,6,16,51.25,2,2.63,2.99,8,10.53
31,G. Belardo J. Guitian J. Hernández T. Fernandez T. Parker-Rivera,PIRATAS DE BOGOTA,74.496,111.42,131.84,-20.42,67,47.76,19,37,15,80,56.39,65.62,21,28.19,15,20.14,18,62,11,30,43.94,2,2.68,2.82,10,13.42
33,A. Daquise L. Blandon M. Kunle P. Farris W. Edejuku,BUCAROS DE BUCARAMANGA,46.6944,102.8,135.22,-32.42,42,50,10,20,6,67,53.76,33.33,7,14.99,10,21.42,13,65,6,29,46.34,0,0,0,3,6.42
35,A. Daquise M. Kunle P. Farris S. Valencia W. Edejuku,BUCAROS DE BUCARAMANGA,18.0096,144.37,121.98,22.39,14,71.43,6,50,4,75,82.49,30,3,16.66,5,27.76,6,75,2,40,61.54,1,5.55,7.14,2,11.11
36,J. Downs M. Eugene W. Cabeza Y. Flores Y. Yan,CARIBBEAN STORM CIMARRONES,81.8304,100.21,123.89,-23.68,75,38.67,28,39,21,62,48.67,41.38,12,14.66,11,13.44,26,67,10,20,40,0,0,0,9,11
37,D. Lozano J. Shuler K. Sheard N. Evans S. De Luque,MOTILONES DEL NORTE,38.784,67.04,78.12,-11.08,32,25,16,25,10,60,35.71,75,6,15.47,8,20.63,18,75,4,17,45.83,4,10.31,11.11,4,10.31
39,A. Mashuan D. Lozano J. Perez N. Evans S. De Luque,MOTILONES DEL NORTE,60.7488,52.68,97.41,-44.73,50,24,16,12,12,50,28.94,66.67,8,13.17,22,36.21,22,79,14,35,52.94,2,3.29,4.17,4,6.58
41,A. Mashuan D. Lozano J. Perez J. Perez S. De Luque,MOTILONES DEL NORTE,26.6496,90.06,112.57,-22.51,24,41.67,8,0,4,100,46.58,40,4,15.01,2,7.5,6,33,0,0,18.75,2,7.5,7.14,6,22.51
42,C. Arboleda J. Coby J. Fuller J. Gamboa J. Gonzalez,SABIOS DE MANIZALES,12.3648,64.7,124.01,-59.31,10,30,1,100,2,50,36.76,66.67,2,16.17,4,32.35,5,83,2,33,58.33,1,8.09,8.33,2,16.17
43,C. Arboleda J. Fuller J. Gamboa J. Gonzalez J. Villanueva,SABIOS DE MANIZALES,45.3888,68.3,123.27,-54.97,47,21.28,15,20,12,67,29.65,70,7,15.42,11,24.24,14,82,16,42,54.55,1,2.2,2.44,3,6.61
44,C. Arboleda F. Forbes J. Fuller J. Gonzalez J. Villanueva,SABIOS DE MANIZALES,22.6944,114.57,79.82,34.75,22,50,6,33,6,33,52.76,72.73,8,35.25,3,13.22,12,75,4,29,53.33,1,4.41,4.55,2,8.81
45,A. Vicens G. Solano P. Lockett R. Roque W. Van,TIGRILLOS DE ANTIOQUIA,74.2656,94.26,117.09,-22.83,66,40.91,21,24,19,58,47.07,55.56,15,20.2,15,20.2,22,61,12,29,43.59,1,1.35,1.43,11,14.81
46,A. January J. Salazar L. Black M. Arboleda S. Dondre,TEAM CALI,29.6448,107.94,126.38,-18.44,25,48,16,38,2,100,61.82,41.67,5,16.87,7,23.61,6,43,2,17,30.77,1,3.37,3.33,4,13.49
47,A. January H. Montaño J. Salazar L. Black S. Dondre,TEAM CALI,18.1248,88.28,135.76,-47.48,16,43.75,2,0,2,100,47.39,42.86,3,16.55,5,27.59,7,54,3,43,50,0,0,0,0,0
49,A. January H. Montaño J. Salazar S. Dondre S. Lemon,TEAM CALI,18.0864,127.17,132.6,-5.43,13,46.15,4,25,11,91,64.46,16.67,1,5.53,3,16.59,5,45,2,25,36.84,2,11.06,10.53,3,16.59
